attack	k_i	depth	L0	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14
SA1	3	1	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	3	3	0	0	7	185	0	0	0	0	0	0	0	0	0	0	0	
SA1	3	5	0	0	6	40	63	143	0	0	0	0	0	0	0	0	0	
SA1	3	7	0	0	7	47	69	87	33	43	0	0	0	0	0	0	0	
SA1	3	9	0	0	8	46	62	93	38	12	19	8	0	0	0	0	0	
SA1	3	11	0	0	5	48	65	80	28	11	17	8	1	0	0	0	0	
SA1	10	1	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	10	3	0	0	30	1370	0	0	0	0	0	0	0	0	0	0	0	
SA1	10	5	0	0	52	457	798	1756	0	0	0	0	0	0	0	0	0	
SA1	10	7	0	0	54	492	1081	1316	616	846	0	0	0	0	0	0	0	
SA1	10	9	0	0	46	548	1166	1510	723	433	277	309	0	0	0	0	0	
SA1	10	11	0	0	54	547	1187	1526	742	401	279	156	58	41	0	0	0	
SA1	30	1	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	30	3	0	0	115	10567	0	0	0	0	0	0	0	0	0	0	0	
SA1	30	5	0	1	787	11145	21608	29273	0	0	0	0	0	0	0	0	0	
SA1	30	7	0	1	926	11652	21764	16055	9418	13579	0	0	0	0	0	0	0	
SA1	30	9	0	1	889	11507	21918	16072	9407	6569	3739	3923	0	0	0	0	0	
SA1	30	11	0	1	936	11239	21572	16018	9366	6636	3728	2449	1233	402	0	0	0	
SA1	50	1	0	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	50	3	0	0	565	55317	0	0	0	0	0	0	0	0	0	0	0	
SA1	50	5	0	0	2444	24700	43806	67799	0	0	0	0	0	0	0	0	0	
SA1	50	7	0	1	2299	23606	40395	32922	18675	24565	0	0	0	0	0	0	0	
SA1	50	9	0	3	2253	23579	39699	32331	18009	12191	8158	6759	0	0	0	0	0	
SA1	50	11	0	2	2333	23605	39781	32529	17940	12041	8087	4691	1996	654	0	0	0	
SA1	70	1	0	1754	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	70	3	0	0	1220	94476	0	0	0	0	0	0	0	0	0	0	0	
SA1	70	5	0	2	2984	27659	54166	93911	0	0	0	0	0	0	0	0	0	
SA1	70	7	0	2	2839	25368	47228	46441	26017	31782	0	0	0	0	0	0	0	
SA1	70	9	0	7	2733	25400	46772	43962	24884	16660	10936	8449	0	0	0	0	0	
SA1	70	11	0	3	2859	25342	45518	44367	24805	16363	10926	5966	2451	767	0	0	0	
SA1	90	1	0	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	90	3	0	5	2469	120061	0	0	0	0	0	0	0	0	0	0	0	
SA1	90	5	0	3	3352	26924	59032	108615	0	0	0	0	0	0	0	0	0	
SA1	90	7	0	2	3179	23997	50420	54510	30109	35793	0	0	0	0	0	0	0	
SA1	90	9	0	1	3110	23471	48478	52621	28687	19454	13121	9301	0	0	0	0	0	
SA1	90	11	0	2	3020	23586	48209	52149	28590	19360	12936	6824	2885	915	0	0	0	
SA1	110	1	0	2819	0	0	0	0	0	0	0	0	0	0	0	0	0	
SA1	110	3	0	1	2774	137754	0	0	0	0	0	0	0	0	0	0	0	
SA1	110	5	0	2	3043	25502	60612	117467	0	0	0	0	0	0	0	0	0	
