ALGORITHM	K_I	DEPTH	K_F	MEM_PROC	MEM_DATA	PROFILES	LOGS	LOGS_OUT	TIME	LOG_TIME	MATCH	TPC_MATCH
SA1	3	1	3.375000	17369591	0	0	27241515	27241451	45.804751597	1.681432e-06	0	0
AF	3	1	3.187500	13556809	0	0	27241451	0	37.721504961	1.384710e-06	3593862	13.192623
AA	3	1	3.187500	17757806	0	0	27241451	27241397	45.29453593	1.662706e-06	3593856	13.192601
SA1	3	3	3.073771	32660683	0	0	27241515	27241323	97.218031427	3.568745e-06	0	0
AF	3	3	3.006282	9313803	0	0	27241323	0	31.331534548	1.150147e-06	2008259	7.372105
AA	3	3	3.096774	15840510	0	0	27241323	27241249	48.440976756	1.778217e-06	2074059	7.613650
SA1	3	5	3.154839	44724979	0	0	27241515	27241263	126.779116148	4.653894e-06	0	0
AF	3	5	3.002936	9169439	0	0	27241263	0	30.379987088	1.115219e-06	1860740	6.830594
AA	3	5	3.000000	16784015	0	0	27241263	27241189	50.552440038	1.855730e-06	1834748	6.735180
SA1	3	7	3.053763	49465330	0	0	27241515	27241229	138.869727804	5.097724e-06	0	0
AF	3	7	3.003754	9176138	0	0	27241229	0	30.349771602	1.114112e-06	1855250	6.810449
AA	3	7	3.028572	16897659	0	0	27241229	27241158	50.287691977	1.846014e-06	1824606	6.697958
SA1	3	9	3.161849	50962687	0	0	27241515	27241229	138.730736451	5.092622e-06	0	0
AF	3	9	3.002765	9178424	0	0	27241229	0	30.36881243	1.114811e-06	1852199	6.799249
AA	3	9	3.030303	16918013	0	0	27241229	27241161	49.868248569	1.830617e-06	1821175	6.685363
SA1	3	11	3.123457	51222353	0	0	27241515	27241252	139.621803643	5.125332e-06	0	0
AF	3	11	3.002327	9178591	0	0	27241252	0	30.575244151	1.122388e-06	1852802	6.801457
AA	3	11	3.000000	16917397	0	0	27241252	27241187	50.789658495	1.864439e-06	1820281	6.682075
SA1	10	1	11.750000	22700025	0	0	27241515	27241316	58.92582831	2.163089e-06	0	0
AF	10	1	12.187500	21553562	0	0	27241316	0	52.801305529	1.938280e-06	1445812	5.307423
AA	10	1	12.187500	23585210	0	0	27241316	27241112	58.498355623	2.147413e-06	1445812	5.307423
SA1	10	3	10.353448	32211971	0	0	27241515	27240115	150.060363753	5.508518e-06	0	0
AF	10	3	14.340093	17159426	0	0	27240115	0	43.364932321	1.591951e-06	596885	2.191199
AA	10	3	10.062500	22053616	0	0	27240115	27239912	65.429590203	2.401957e-06	558735	2.051148
SA1	10	5	10.373921	40351474	0	0	27241515	27238452	203.828735994	7.482283e-06	0	0
AF	10	5	10.336551	17493036	0	0	27238452	0	44.455462259	1.632085e-06	605774	2.223966
AA	10	5	10.021739	24192208	0	0	27238452	27238229	79.410716104	2.915390e-06	357470	1.312373
SA1	10	7	10.536499	44457502	0	0	27241515	27237110	235.49509137	8.644713e-06	0	0
