DEPTH	SECONDS	TPC_OUT	IN	OUT	MEAN_I
1	28800	99.857208	44120	44057	98
1	57600	99.957915	159203	159136	98
1	86400	99.978208	348748	348672	98
1	115200	99.980948	393661	393586	98
1	144000	99.988204	517132	517071	98
1	172800	99.990663	706835	706769	98
1	201600	99.990961	752273	752205	98
1	230400	99.993083	867405	867345	98
1	259200	99.991662	1031423	1031337	98
1	288000	99.993980	1079761	1079696	98
1	316800	99.994915	1219389	1219327	98
1	345600	99.994157	1386181	1386100	98
1	374400	99.994424	1434690	1434610	98
1	403200	99.995267	1584638	1584563	98
1	460800	99.995715	1820420	1820342	98
1	489600	99.996291	1941027	1940955	98
1	518400	99.996351	2137796	2137718	98
1	547200	99.996336	2183699	2183619	98
1	576000	99.997262	2300894	2300831	98
1	604800	99.996433	2495176	2495087	98
1	633600	99.996809	2538128	2538047	98
1	662400	99.997098	2653735	2653658	98
1	691200	99.997395	2840353	2840279	98
1	748800	99.997767	3000382	3000315	98
1	777600	99.997676	3183987	3183913	98
1	806400	99.997615	3228519	3228442	98
1	835200	99.998023	3338698	3338632	98
1	864000	99.997712	3496884	3496804	98
1	892800	99.998166	3545030	3544965	98
1	921600	99.998123	3676275	3676206	98
1	950400	99.997810	3835143	3835059	98
1	1008000	99.998286	4026634	4026565	98
1	1036800	99.998174	4217177	4217100	98
1	1065600	99.998451	4259708	4259642	98
1	1094400	99.998357	4382270	4382198	98
1	1123200	99.998558	4578104	4578038	98
1	1152000	99.997620	4621969	4621859	98
1	1180800	99.998377	4745336	4745259	98
1	1209600	99.998520	4933155	4933082	98
1	1238400	99.998192	4977264	4977174	98
1	1267200	99.998804	5099194	5099133	98
1	1296000	99.998581	5284588	5284513	98
1	1353600	99.998880	5444169	5444108	98
1	1382400	99.998488	5622654	5622569	98
1	1411200	99.998888	5667640	5667577	98
1	1440000	99.998841	5781497	5781430	98
1	1468800	99.998821	5936844	5936774	98
1	1497600	99.998897	5982190	5982124	98
1	1526400	99.998986	6117403	6117341	98
1	1555200	99.998949	6277435	6277369	98
1	1584000	99.998893	6324881	6324811	98
1	1612800	99.998965	6470925	6470858	98
1	1670400	99.998985	6700778	6700710	98
1	1699200	99.998975	6826172	6826102	98
1	1728000	99.998932	7024073	7023998	98
1	1756800	99.998966	7061986	7061913	98
1	1785600	99.999095	7183702	7183637	98
1	1814400	99.999065	7376819	7376750	98
1	1872000	99.999059	7542570	7542499	98
1	1900800	99.998913	7728111	7728027	98
1	1929600	99.998996	7772673	7772595	98
1	1958400	99.999125	7889630	7889561	98
