attack	k_i	depth	k_f	mem_proc	mem_data	profiles	logs	logs_out	time	log_time	match	%match
SF1	3	1	3.375000	13550374	0	0	27241515	27241451	37.070903333s	1.360824e-06	0	0.000000
SF1	3	3	9.121093	13603241	0	0	27241515	27188352	43.863549562s	1.610173e-06	0	0.000000
SF1	3	5	8.343565	13695601	0	0	27241515	26725562	52.662573993s	1.933173e-06	0	0.000000
SF1	3	7	7.355741	13727750	0	0	27241515	26255556	1m0.396868229s	2.217089e-06	0	0.000000
SF1	3	9	6.861877	13734445	0	0	27241515	26044020	1m0.743008214s	2.229796e-06	0	0.000000
SF1	3	11	6.734897	13737019	0	0	27241515	26005081	55.335344874s	2.031287e-06	0	0.000000
SF1	10	1	11.750000	21583862	0	0	27241515	27241316	54.051448727s	1.984157e-06	0	0.000000
SF1	10	3	20.608589	21884668	0	0	27241515	27124519	58.384868276s	2.143231e-06	0	0.000000
SF1	10	5	18.353775	21851336	0	0	27241515	26225380	1m6.774660267s	2.451209e-06	0	0.000000
SF1	10	7	16.483238	21641621	0	0	27241515	25388290	1m10.240292279s	2.578428e-06	0	0.000000
SF1	10	9	15.519012	21548068	0	0	27241515	25070475	1m12.884159631s	2.675481e-06	0	0.000000
SF1	10	11	15.295185	21534058	0	0	27241515	25019264	1m13.092158493s	2.683117e-06	0	0.000000
SF1	30	1	42.687500	72690653	0	0	27241515	27240823	2m9.954769062s	4.770468e-06	0	0.000000
SF1	30	3	52.219479	72210666	0	0	27241515	26960202	1m57.086278497s	4.298082e-06	0	0.000000
SF1	30	5	44.672718	69108126	0	0	27241515	25153548	2m6.764951454s	4.653374e-06	0	0.000000
SF1	30	7	40.126137	66553558	0	0	27241515	23779163	2m9.03580367s	4.736734e-06	0	0.000000
SF1	30	9	38.203266	65729326	0	0	27241515	23366900	2m11.188222631s	4.815746e-06	0	0.000000
SF1	30	11	37.780209	65622250	0	0	27241515	23319171	2m11.45994345s	4.825721e-06	0	0.000000
SF1	50	1	75.625000	81123056	0	0	27241515	27240294	2m42.109901572s	5.950840e-06	0	0.000000
SF1	50	3	83.294998	83041460	0	0	27241515	26806327	2m29.72593161s	5.496241e-06	0	0.000000
SF1	50	5	69.471237	80042576	0	0	27241515	24316769	2m40.104753407s	5.877234e-06	0	0.000000
SF1	50	7	62.558735	76910991	0	0	27241515	22647980	2m41.938615578s	5.944552e-06	0	0.000000
SF1	50	9	59.920925	75899109	0	0	27241515	22215115	2m43.871311644s	6.015499e-06	0	0.000000
SF1	50	11	59.371456	75774514	0	0	27241515	22175057	2m43.305879444s	5.994743e-06	0	0.000000
SF1	70	1	108.625000	151546517	0	0	27241515	27239780	4m8.64799089s	9.127539e-06	0	0.000000
SF1	70	3	113.490784	149444874	0	0	27241515	26662607	3m39.192945656s	8.046283e-06	0	0.000000
SF1	70	5	93.405403	138041027	0	0	27241515	23610698	3m45.109730067s	8.263481e-06	0	0.000000
SF1	70	7	84.408730	130324977	0	0	27241515	21749540	3m45.916434971s	8.293094e-06	0	0.000000
SF1	70	9	81.220535	128242413	0	0	27241515	21314049	3m46.142463057s	8.301391e-06	0	0.000000
SF1	70	11	80.605324	128021833	0	0	27241515	21277609	3m46.224160749s	8.304390e-06	0	0.000000
SF1	90	1	142.812500	153472734	0	0	27241515	27239235	4m26.847027016s	9.795602e-06	0	0.000000
